timestamp,TP9,AF7,AF8,TP10
1732134921.981125,-835.9375,162.109375,-59.5703125,40.0390625
1732134921.981125,243.65234375,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-62.01171875,13.18359375,-33.203125
1732134921.981125,-645.5078125,-749.0234375,-761.71875,-759.765625
1732134921.981125,-984.375,301.7578125,198.73046875,200.1953125
1732134921.981125,391.6015625,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-278.80859375,-277.34375,-277.83203125
1732134921.981125,-1000.0,-871.58203125,-812.98828125,-816.89453125
1732134921.981125,275.87890625,820.80078125,475.09765625,524.90234375
1732134921.981125,954.1015625,-806.640625,-1000.0,-1000.0
1732134921.981125,-574.70703125,-556.640625,-484.375,-492.1875
1732134921.981125,-1000.0,954.58984375,-979.00390625,-999.51171875
1732134921.981125,-835.9375,162.109375,-59.5703125,40.0390625
1732134921.981125,243.65234375,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-62.01171875,13.18359375,-33.203125
1732134921.981125,-645.5078125,-749.0234375,-761.71875,-759.765625
1732134921.981125,-984.375,301.7578125,198.73046875,200.1953125
1732134921.981125,391.6015625,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-278.80859375,-277.34375,-277.83203125
1732134921.981125,-1000.0,-871.58203125,-812.98828125,-816.89453125
1732134921.981125,275.87890625,820.80078125,475.09765625,524.90234375
1732134921.981125,954.1015625,-806.640625,-1000.0,-1000.0
1732134921.981125,-574.70703125,-556.640625,-484.375,-492.1875
1732134921.981125,-1000.0,954.58984375,-979.00390625,-999.51171875
1732134921.981125,-197.75390625,-864.2578125,961.42578125,-976.07421875
1732134921.981125,-863.28125,-95.21484375,-530.76171875,-400.87890625
1732134921.981125,33.69140625,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,395.01953125,500.48828125,419.43359375
1732134921.981125,-307.12890625,-812.01171875,-847.16796875,-829.58984375
1732134921.981125,-854.00390625,83.49609375,-31.25,70.3125
1732134921.981125,245.1171875,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-177.734375,-120.1171875,-164.55078125
1732134921.981125,-786.62109375,-777.83203125,-776.85546875,-774.90234375
1732134921.981125,859.375,442.3828125,210.44921875,211.9140625
1732134921.981125,544.921875,-1000.0,-1000.0,-1000.0
1732134921.981125,-983.3984375,-284.66796875,-275.87890625,-275.390625
1732134921.981125,-197.75390625,-864.2578125,961.42578125,-976.07421875
1732134921.981125,-863.28125,-95.21484375,-530.76171875,-400.87890625
1732134921.981125,33.69140625,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,395.01953125,500.48828125,419.43359375
1732134921.981125,-307.12890625,-812.01171875,-847.16796875,-829.58984375
1732134921.981125,-854.00390625,83.49609375,-31.25,70.3125
1732134921.981125,245.1171875,-1000.0,-1000.0,-1000.0
1732134921.981125,-1000.0,-177.734375,-120.1171875,-164.55078125
1732134921.981125,-786.62109375,-777.83203125,-776.85546875,-774.90234375
1732134921.981125,859.375,442.3828125,210.44921875,211.9140625
1732134921.981125,544.921875,-1000.0,-1000.0,-1000.0
1732134921.981125,-983.3984375,-284.66796875,-275.87890625,-275.390625
1732134922.071125,-1000.0,-906.73828125,-826.171875,-831.0546875
1732134922.071125,150.87890625,962.890625,582.51953125,614.74609375
1732134922.071125,-944.3359375,-589.35546875,-1000.0,-1000.0
1732134922.071125,-394.04296875,-667.48046875,-571.77734375,-588.37890625
1732134922.071125,-1000.0,895.5078125,949.21875,929.6875
1732134922.071125,-208.0078125,-838.8671875,-917.96875,-892.08984375
1732134922.071125,-850.5859375,43.45703125,-297.36328125,-189.94140625
1732134922.071125,141.6015625,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,179.6875,312.5,221.19140625
1732134922.071125,-442.3828125,-740.234375,-765.625,-757.32421875
1732134922.071125,-895.5078125,181.640625,180.17578125,184.5703125
1732134922.071125,252.9296875,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,-279.296875,-233.3984375,-273.92578125
1732134922.071125,-908.203125,-817.3828125,-787.59765625,-797.36328125
1732134922.071125,685.05859375,581.0546875,269.53125,326.171875
1732134922.071125,675.78125,-1000.0,-1000.0,-1000.0
1732134922.071125,-908.203125,-352.05078125,-275.390625,-291.50390625
1732134922.071125,-1000.0,-960.44921875,-851.5625,-875.48828125
1732134922.071125,23.4375,-918.45703125,708.984375,794.921875
1732134922.071125,-863.28125,-343.75,-915.52734375,-801.26953125
1732134922.071125,-202.1484375,-849.609375,-729.98046875,-790.0390625
1732134922.071125,-1000.0,719.23828125,835.9375,771.97265625
1732134922.071125,-219.23828125,-797.8515625,-868.65234375,-839.35546875
1732134922.071125,-839.84375,153.80859375,-165.52734375,-54.6875
1732134922.071125,244.140625,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,35.15625,124.51171875,66.40625
1732134922.071125,-556.15234375,-737.3046875,-757.32421875,-753.90625
1732134922.071125,-931.15234375,238.76953125,189.94140625,192.3828125
1732134922.071125,355.46875,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,-278.80859375,-275.390625,-276.85546875
1732134922.071125,-1000.0,-851.07421875,-803.7109375,-806.640625
1732134922.071125,489.2578125,733.88671875,385.25390625,430.17578125
1732134922.071125,821.2890625,-918.45703125,-1000.0,-1000.0
1732134922.071125,-744.62890625,-500.0,-387.20703125,-411.1328125
1732134922.071125,-1000.0,984.375,-916.9921875,-957.03125
1732134922.071125,-135.25390625,-881.8359375,856.4453125,962.890625
1732134922.071125,244.140625,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,35.15625,124.51171875,66.40625
1732134922.071125,-556.15234375,-737.3046875,-757.32421875,-753.90625
1732134922.071125,-931.15234375,238.76953125,189.94140625,192.3828125
1732134922.071125,355.46875,-1000.0,-1000.0,-1000.0
1732134922.071125,-1000.0,-278.80859375,-275.390625,-276.85546875
1732134922.071125,-1000.0,-851.07421875,-803.7109375,-806.640625
